ID,Title,Highlights Supported?,Fully Optimized?,Steam Url,Publisher,Genre,Status
100028511,Tom Clancy's Rainbow Six® Siege,N,Y,https://store.steampowered.com/app/359550,Ubisoft,"Action,First-Person Shooter,",1
100218111,Tom Clancy's Rainbow Six® Siege - Technical Test Server,N,N,,Ubisoft,"Action,First-Person Shooter,",1
100023411,Tom Clancy's The Division™,N,Y,,Ubisoft,"Action,Adventure,Role Playing,Massively Multiplayer Online,",1
100153411,Tom Clancy's The Division™,N,Y,https://store.steampowered.com/app/365590,Ubisoft,"Action,Adventure,Role Playing,Massively Multiplayer Online,",1
18105811,Torchlight II,N,N,https://store.steampowered.com/app/200710,Runic Games,"Action,Adventure,Indie,Role Playing,",1
100229811,Total War: THREE KINGDOMS,N,N,https://store.steampowered.com/app/779340,SEGA,"Action,Strategy,",1
100351311,Totally Accurate Battle Simulator,N,N,https://store.steampowered.com/app/508440,Landfall,"Casual,Indie,Simulation,Strategy,",1
100139911,Totally Accurate Battlegrounds,N,N,https://store.steampowered.com/app/823130,Landfall,"Action,Casual,Indie,Massively Multiplayer Online,",1
100209711,Tower of Time,N,N,https://store.steampowered.com/app/617480,Event Horizon,"Role Playing,Strategy,",1
100249411,Transport Fever,N,N,https://store.steampowered.com/app/446800,Good Shepherd Entertainment,"Simulation,",1
100408211,Transport Fever 2,N,N,https://store.steampowered.com/app/1066780,Good Shepherd Entertainment,"Simulation,Strategy,",1
18114911,Tree of Savior,N,N,https://store.steampowered.com/app/372000,"IMCGAMES Co.,Ltd.","Free To Play,Massively Multiplayer Online,Role Playing,",1
100230011,Trials® Rising,N,N,https://store.steampowered.com/app/641080,Ubisoft,"Racing,",1
100229911,Trials® Rising,N,N,,Ubisoft,"Racing,",1
100239211,Tricky Towers,N,N,https://store.steampowered.com/app/437920,WeirdBeard,"Casual,Indie,Puzzle,Strategy,",1
100378711,Trine 4: The Nightmare Prince,N,N,https://store.steampowered.com/app/690640,Frozenbyte,"Action,Adventure,Indie,PlatformerPuzzle,",1
100356711,Triton Survival,N,N,https://store.steampowered.com/app/1013450,DreamsSoftGames,"Action,Indie,Role Playing,",1
100224311,Tropico 6,N,N,https://store.steampowered.com/app/492720,Kalypso Media,"Casual,Simulation,Strategy,",1
18106011,Trove,N,N,https://store.steampowered.com/app/304050,Trion Worlds,"Action,Adventure,Casual,Free To PlayIndie,Massively Multiplayer Online,Role Playing,",1
100355511,Trover Saves The Universe,N,N,https://store.steampowered.com/app/1051200,"Squanch Games, Inc.","Action,Adventure,Indie,",1
100197211,TT Isle of Man,N,N,https://store.steampowered.com/app/626610,Bigben Interactive,"Racing,Sports,Simulation,",1
100234411,Two Point Hospital,N,N,https://store.steampowered.com/app/535930,SEGA,"Simulation,Strategy,",1
100246311,Ultimate Fishing Simulator,N,N,https://store.steampowered.com/app/468920,"Ultimate Games S.A., PlayWay S.A.","Casual,Simulation,Sports,",1
100235411,Underworld Ascendant®,N,N,https://store.steampowered.com/app/692840,505 Games,"Action,Adventure,Indie,Role Playing,",1
100223711,Unknown Fate,N,N,https://store.steampowered.com/app/510390,1C Publishing,"Indie,Adventure,",1
17950011,Unturned,N,N,https://store.steampowered.com/app/304930,Smartly Dressed Games,"Action,Adventure,Free To Play,Indie,",1
100207011,URU: Complete Chronicles,N,N,https://store.steampowered.com/app/63650,Cyan Worlds Inc.,"Adventure,Casual,Puzzle,",1
100238111,Valkyria Chronicles 4,N,N,https://store.steampowered.com/app/790820,SEGA,"Action,Role Playing,Strategy,",1
100080411,Vampyr,Y,N,https://store.steampowered.com/app/427290,Dontnod Entertainment,"Action,Role Playing,",1
100068111,Vanquish,N,N,https://store.steampowered.com/app/460810,SEGA,"First-Person Shooter,Action,",1
100241511,V-Rally 4,N,N,https://store.steampowered.com/app/658700,Bigben,"Racing,",1
100301811,War of Rights,N,N,https://store.steampowered.com/app/424030,Campfire Games,"Action,Indie,Simulation,",1
10839111,War Thunder,Y,Y,,Gaijin Entertainment,"Action,Massively Multiplayer Online,Free To Play,Simulation,",1
100234911,War Thunder,N,Y,https://store.steampowered.com/app/236390,Gaijin Entertainment,"Massively Multiplayer Online,Free To Play,Simulation,Action,",1
11285111,Warframe,N,Y,https://store.steampowered.com/app/230410,Digital Extremes,"Action,Free To Play,Multiplayer Online Battle Arena,",1
100219711,"Warhammer 40,000: Inquisitor - Martyr",N,N,https://store.steampowered.com/app/527430,NeocoreGames,"Action,Indie,Adventure,Role Playing,",1
100355011,"Warhammer 40,000: Inquisitor - Prophecy",N,N,https://store.steampowered.com/app/1042800,NeocoreGames,"Action,Adventure,Indie,Role Playing,",1
100271311,"Warhammer 40,000: Mechanicus",N,N,https://store.steampowered.com/app/673880,Kasedo Games,"Strategy,",1
100321711,Warhammer: Chaosbane,N,N,https://store.steampowered.com/app/774241,Bigben Interactive,"Action,Adventure,Role Playing,",1
18106411,Warhammer: End Times - Vermintide,N,N,https://store.steampowered.com/app/235540,Fatshark,"Action,Indie,",1
100165911,Warhammer: Vermintide 2,N,N,https://store.steampowered.com/app/552500,Fatshark,"Action,Indie,",1
100270611,WARRIORS OROCHI 4,N,N,https://store.steampowered.com/app/831560,"KOEI TECMO GAMES CO., LTD.","Action,",1
99999411,Watch_Dogs® 2,N,N,,Ubisoft,"Action,Adventure,",1
100163211,Watch_Dogs® 2,N,Y,https://store.steampowered.com/app/447040,Ubisoft,"Action,Adventure,",1
100186311,Watch_Dogs™,N,N,,Ubisoft,"Action,Adventure,",1
